rank,image_index,image_path,original_label,final_elo_score
1,90,039A45.JPG,45,1744.3261209326138
2,279,048A52.JPG,52,1621.2281599860976
3,635,082A18.JPG,18,1718.7618894320606
4,78,033A18.JPG,18,1951.5815989083694
5,313,048A46.JPG,46,1038.6903972422742
6,236,067A30.JPG,30,1522.2113222715743
7,824,061A26.JPG,26,1740.9573489359066
8,765,045A43.JPG,43,1927.6613637466617
9,419,043A17.JPG,17,1848.5539599976357
10,660,017A29.JPG,29,1662.774211822575
11,477,004A30.JPG,30,1598.9273345597896
12,752,012A25.JPG,25,1585.4098047199748
13,380,004A53.JPG,53,1960.35960018454
14,110,028A28.JPG,28,1782.1195028163552
15,301,067A33.JPG,33,1868.3480828558731
16,231,051A16.JPG,16,1929.2962462273022
17,385,030A17.JPG,17,1668.0425441595767
18,851,014A36.JPG,36,1413.6048866366132
19,372,001A40.JPG,40,1648.829055785109
20,204,050A22.JPG,22,1681.808970935581
21,649,067A28.JPG,28,1733.1067554732094
22,621,007A45.JPG,45,1833.3279584699267
23,585,025A34.JPG,34,1471.378270810185
24,573,007A26.JPG,26,1611.3283848672352
25,62,021A39.JPG,39,1637.1844544972125
26,960,017A36.JPG,36,1756.4757305241503
27,12,021A30.JPG,30,1688.0709762837878
28,155,005A61.JPG,61,1904.8099968589397
29,196,067A23.JPG,23,1914.2697502006722
30,832,003A47.JPG,47,1105.5603314998768
31,392,048A50.JPG,50,1744.2681543166468
32,922,004A19.JPG,19,1891.8850870433246
33,414,027A22.JPG,22,1730.3586182445226
34,42,013A21.JPG,21,1713.7331710748088
35,246,009A22b.JPG,22,1430.570116690013
36,43,035A23a.JPG,23,1678.4518463412396
37,3,028A46.JPG,46,1756.0559143877936
38,779,051A12.JPG,12,1703.0994335125488
39,954,018A34.JPG,34,1289.7307131721113
40,429,063A25.JPG,25,1823.9132975186974
41,736,043A27.JPG,27,1863.5056599552777
42,85,023A14.JPG,14,1929.1072217287897
43,537,021A18.JPG,18,1956.4094482100525
44,819,021A27.JPG,27,1951.8229237638602
45,586,043A15.JPG,15,1731.8459064673866
46,432,062A47.JPG,47,1595.267767233453
47,211,048A27.JPG,27,1467.8873064726986
48,217,038A21.JPG,21,1724.2456946581572
49,139,050A16.JPG,16,1853.7393293034365
50,539,008A16.JPG,16,1575.2905232814642
51,519,029A23.JPG,23,1659.3064068340395
52,140,027A20.JPG,20,1729.7484376742093
53,636,061A29.JPG,29,1916.9614060830206
54,54,021A35.JPG,35,1813.8437059711873
55,915,010A16.JPG,16,1946.220824825811
56,281,071A23.JPG,23,1592.9867642798627
57,579,041A24.JPG,24,1647.6950152476197
58,354,022A18.JPG,18,1644.88033101238
59,351,014A40.JPG,40,1884.3393032075314
60,597,062A54.JPG,54,1633.375836222965
61,160,039A52.JPG,52,1748.7438951944532
62,820,024A19.JPG,19,1888.0207146708065
63,557,044A17.JPG,17,1961.4584040266739
64,373,073A15.JPG,15,1082.0037930314459
65,463,047A55.JPG,55,1804.9008133562604
66,746,001A28.JPG,28,1668.8522386426052
67,738,046A20.JPG,20,1669.7107662210667
68,623,010A15.JPG,15,1713.715069977396
69,295,002A23.JPG,23,1886.0113487532885
70,191,045A12.JPG,12,1614.4741983169215
71,722,036A20.JPG,20,1817.6124111346849
72,953,033A25.JPG,25,1881.297043989456
73,721,025A28.JPG,28,1934.8837039076343
74,190,082A20.JPG,20,1309.4710280969634
75,360,011A34.JPG,34,1530.0371079561296
76,787,022A16.JPG,16,1770.2173076747154
77,680,022A25.JPG,25,1599.0578653126167
78,902,011A15.JPG,15,1852.5515733374189
79,600,048A15.JPG,15,1980.760529314115
80,594,029A31.JPG,31,1897.7457421090571
81,122,028A35.JPG,35,1904.417170393009
82,367,073A16.JPG,16,1906.1483871171085
83,964,042A14.JPG,14,1918.2936942208373
84,72,003A25.JPG,25,1703.4756751730472
85,726,014A22.JPG,22,1855.7446944955518
86,970,061A30.JPG,30,1948.9756724275915
87,934,032A24.JPG,24,1697.4945585335531
88,598,021A20.JPG,20,1734.1843896916034
89,979,017A17.JPG,17,1768.7042125023797
90,355,048A33.JPG,33,1634.4171662321858
91,984,017A19.JPG,19,1989.87383823766
92,329,061A32.JPG,32,1099.529506553132
93,435,028A37.JPG,37,1603.878112887931
94,947,018A29.JPG,29,1749.5791214910128
95,502,023A29.JPG,29,1137.093640196972
96,533,005A35.JPG,35,1864.5309570590764
97,670,072A41.JPG,41,1899.732465493001
98,698,005A24.JPG,24,1872.0614209318153
99,975,047A45.JPG,45,1025.056510163052
100,478,027A30.JPG,30,1794.063416995118
101,616,033A21.JPG,21,1522.1712796370207
102,15,020A22.JPG,22,1434.3160561020734
103,41,018A22.JPG,22,1763.3283544776516
104,662,003A18.JPG,18,1812.913969284552
105,7,004A63.JPG,63,1421.40087908089
106,136,072A19.JPG,19,1748.4891095300861
107,436,068A11.JPG,11,1045.1806756929218
108,780,062A35.JPG,35,1744.3966952534183
109,686,038A14.JPG,14,1411.261391005773
110,466,031A15.JPG,15,1725.0450603283964
111,810,045A19.JPG,19,1969.975178639032
112,465,044A13.JPG,13,1669.8784285126446
113,701,028A26.JPG,26,1638.4654816405643
114,147,042A18.JPG,18,1894.980698915933
115,318,030A20.JPG,20,1611.6542536270483
116,457,013A41.JPG,41,1845.4385076858393
117,310,057A25.JPG,25,1743.6215212314276
118,430,006A24.JPG,24,1860.9856368363041
119,168,065A11.JPG,11,1551.187499383054
120,531,054A17.JPG,17,1722.8075756337046
121,486,027A41.JPG,41,1831.0225068093387
122,685,041A21.JPG,21,1758.7322838128098
123,516,055A22.JPG,22,1936.030256720676
124,644,032A13.JPG,13,1916.6231195756152
125,919,045A17.JPG,17,1719.1654252462336
126,795,017A15.JPG,15,1490.1278442752337
127,321,015A14.JPG,14,1419.9322266557194
128,82,001A18.JPG,18,1613.710904876177
129,386,024A30.JPG,30,1809.0511074716364
130,603,029A22.JPG,22,1660.9751795322604
131,52,042A20.JPG,20,1625.7488076032907
132,123,016A18.JPG,18,1076.3002622674412
133,555,045A25.JPG,25,1104.0560287787614
134,530,039A16.JPG,16,1814.4169015643686
135,658,031A19.JPG,19,1727.7984549854132
136,280,052A17.JPG,17,1658.9610532863041
137,28,062A15.JPG,15,1927.6422046032287
138,536,032A35.JPG,35,1482.8883919089426
139,904,035A18.JPG,18,1825.642504873613
140,609,009A18.JPG,18,1948.2797540255829
141,991,020A20.JPG,20,1947.102732088194
142,186,062A38.JPG,38,1693.4943705858382
143,924,036A18.JPG,18,1628.5683284735949
144,962,082A21.JPG,21,1023.6918623844335
145,617,007A38.JPG,38,1630.3680223634642
146,697,054A19.JPG,19,1561.6557941501756
147,674,024A28.JPG,28,1774.0058976424716
148,673,011A17.JPG,17,1924.12812013546
149,912,055A14.JPG,14,1617.764116325555
150,764,012A36.JPG,36,1729.9279514526131
151,424,025A23.JPG,23,1776.5263170588387
152,396,020A18.JPG,18,1837.1694031021684
153,571,078A14.JPG,14,1719.7006534383404
154,877,050A18.JPG,18,1750.9030758050583
155,833,003A49.JPG,49,1654.7411226688355
156,490,049A16.JPG,16,1959.997942259453
157,81,058A17.JPG,17,1904.084657808908
158,564,072A29.JPG,29,1086.2495881950501
159,27,002A29.JPG,29,1901.958995278041
160,80,029A20.JPG,20,1400.2764013061692
161,156,007A22.JPG,22,1944.3002354034907
162,829,052A19.JPG,19,1760.2618260458933
163,655,053A15.JPG,15,1787.478334513838
164,233,003A20.JPG,20,1667.0630072272845
165,404,063A20.JPG,20,1735.7959634558192
166,158,029A16.JPG,16,1892.5503053387245
167,714,049A15.JPG,15,1695.1845904030079
168,282,076A17.JPG,17,1872.106749844221
169,932,025A22.JPG,22,1921.9587793879818
170,299,010A18.JPG,18,1854.0802404890885
171,376,039A15.JPG,15,1443.4832497656719
172,96,027A25.JPG,25,1823.2651740593762
173,291,005A45.JPG,45,1834.4141359520288
174,889,018A16.JPG,16,1675.6429708154453
175,239,052A20.JPG,20,1863.960768139135
176,647,019A18.JPG,18,1834.2851297557029
177,79,071A44.JPG,44,1716.609957418833
178,998,013A23.JPG,23,1416.7076728808438
179,338,014A42.JPG,42,1868.588757060783
180,253,055A23.JPG,23,1646.5380820096277
181,987,044A18.JPG,18,1501.8295625156468
182,243,061A19.JPG,19,1727.0283347081831
183,450,035A23b.JPG,23,1726.8212471973764
184,568,009A22a.JPG,22,1532.1484543086435
185,900,018A25.JPG,25,1789.344718575808
186,388,015A17.JPG,17,1865.0963549051326
187,113,012A21.JPG,21,1912.867349288509
188,693,028A41.JPG,41,1648.9357164160313
189,909,005A52.JPG,52,1794.7273814237242
190,316,017A32.JPG,32,1690.426255034035
191,165,061A15.JPG,15,1939.2949943742933
192,669,034A16.JPG,16,1941.1256651757324
193,513,037A17.JPG,17,1753.3056610040196
194,31,005A40.JPG,40,1637.3600802864137
195,949,003A23.JPG,23,1685.228455758677
196,294,002A36.JPG,36,1839.1369592656629
197,535,016A19.JPG,19,1959.7113072293575
198,394,020A24.JPG,24,1864.4739897597883
199,776,032A40.JPG,40,1697.643283131664
200,366,047A13.JPG,13,1887.6299442145523
201,489,036A19.JPG,19,1728.4934949193193
202,941,023A25.JPG,25,1669.1086213607207
203,61,036A17.JPG,17,1718.4006906730779
204,199,013A30.JPG,30,1853.209339720263
205,898,001A33.JPG,33,1967.647785447037
206,496,008A31.JPG,31,1744.9325788466572
207,844,048A18.JPG,18,1559.4142398679558
208,68,023A16.JPG,16,1655.9728873084944
209,793,012A30.JPG,30,1636.0398460674062
210,767,048A16.JPG,16,1840.2012450240036
211,58,021A23.JPG,23,1684.3144849424757
212,834,072A21.JPG,21,1948.4685592748995
213,606,043A19.JPG,19,1582.6042595522747
214,381,005A18.JPG,18,1739.9710591866772
215,408,030A23.JPG,23,1831.7907220203465
216,815,040A19.JPG,19,1714.531365619388
217,957,003A60.JPG,60,1732.954130898493
218,650,050A10.JPG,10,1948.361874629164
219,440,032A20.JPG,20,1745.326681558839
220,648,030A26.JPG,26,1843.335479801044
221,71,013A18.JPG,18,1677.3888488770983
222,755,062A41.JPG,41,1600.829931419659
223,515,013A44.JPG,44,1478.0983123762846
224,842,020A16.JPG,16,1641.6204029410799
225,728,016A16.JPG,16,1793.2171217321625
226,431,008A21.JPG,21,1510.4477602208815
227,624,040A10.JPG,10,1664.4564519304026
228,317,082A22.JPG,22,1840.0724396166845
229,561,001A14.JPG,14,1135.4784606019925
230,730,057A18.JPG,18,1815.5394697799343
231,487,024A18.JPG,18,1038.5426652163976
232,681,046A17.JPG,17,1969.0714312676803
233,896,003A51.JPG,51,1504.6882714260753
234,390,014A30.JPG,30,1903.0648817937968
235,928,051A24.JPG,24,1716.2626774360376
236,761,020A30.JPG,30,1784.750227110301
237,167,002A26.JPG,26,1978.1012105380025
238,97,001A19.JPG,19,1811.0618726645519
239,923,072A25.JPG,25,1054.6187453347895
240,178,024A23.JPG,23,1897.847487550996
241,777,013A19.JPG,19,1766.9307792332586
242,14,020A11.JPG,11,1759.3913553238021
243,731,067A17.JPG,17,1693.8014144171102
244,423,016A12.JPG,12,1895.4236390583042
245,343,016A14.JPG,14,1866.1581208431844
246,656,052A13.JPG,13,1858.1942242968269
247,244,007A37.JPG,37,1953.3945445333152
248,869,020A36.JPG,36,1619.1357386229763
249,185,005A31.JPG,31,1182.574234735833
250,593,003A61.JPG,61,1817.7168554844707
251,840,045A48.JPG,48,1813.9535718290003
252,884,057A16.JPG,16,1623.9261314758928
253,95,018A36.JPG,36,1731.3569372119641
254,197,048A17.JPG,17,1895.5622068351774
255,942,057A23.JPG,23,1687.5221415776248
256,174,011A40.JPG,40,1768.6861849402137
257,534,034A25.JPG,25,1766.8723596798645
258,365,063A18.JPG,18,1574.7258861886758
259,566,031A14.JPG,14,1823.8330502183137
260,40,082A31.JPG,31,1682.4956980555132
261,619,032A28.JPG,28,1831.2582599235773
262,921,008A18.JPG,18,1477.1514279122239
263,740,063A33.JPG,33,1702.1288140193292
264,117,006A69.JPG,69,1752.2690246624652
265,700,017A38.JPG,38,1749.46049319702
266,245,043A10.JPG,10,1826.2946804243322
267,892,028A34.JPG,34,1575.7786650605933
268,816,034A44.JPG,44,1723.7963153330556
269,961,017A26.JPG,26,1650.1695956305898
270,846,042A24.JPG,24,1676.330833112411
271,84,041A20.JPG,20,1459.838955347236
272,425,067A26.JPG,26,1481.1654768188046
273,480,008A17.JPG,17,1643.3756514044303
274,169,002A31.JPG,31,1661.2980832467201
275,48,026A19.JPG,19,1484.6152844173052
276,881,023A21.JPG,21,1742.7295957067076
277,203,062A30.JPG,30,1830.4357514574838
278,690,036A15.JPG,15,1726.071008534451
279,297,004A26.JPG,26,1640.108665624719
280,77,048A54.JPG,54,1985.8469052857938
281,548,034A21.JPG,21,1914.2792788896018
282,880,072A45.JPG,45,1945.8265056393707
283,913,037A18.JPG,18,1900.9979351921615
284,799,012A18.JPG,18,1674.2692915758294
285,374,044A25.JPG,25,1501.276351114707
286,413,051A18.JPG,18,1765.9569680778352
287,8,022A27.JPG,27,1644.5577322540435
288,576,082A25.JPG,25,1688.4281949552387
289,641,032A33.JPG,33,1201.0404945823975
290,709,013A16.JPG,16,1671.4328242162067
291,626,023A22.JPG,22,1753.0098351801698
292,526,012A27.JPG,27,1898.5824853710913
293,115,018A33.JPG,33,1491.870398264874
294,760,035A21.JPG,21,1563.985316162234
295,727,029A33.JPG,33,1891.2704874191554
296,328,041A19.JPG,19,1941.2338022638546
297,581,044A21.JPG,21,1834.193825967567
298,219,007A18.JPG,18,1853.1240008335742
299,443,080A14.JPG,14,1175.2417903289324
300,389,078A15.JPG,15,1900.2238912659398
301,798,019A15.JPG,15,1633.5272400049903
302,209,062A53.JPG,53,1969.305511050332
303,227,009A13.JPG,13,1511.8313206224266
304,986,052A18.JPG,18,1652.321606662945
305,195,017A22.JPG,22,1829.178513396255
306,814,064A19.JPG,19,1755.3765714322267
307,914,004A40.JPG,40,1637.9138294020718
308,151,051A14.JPG,14,1640.875562295819
309,843,061A25.JPG,25,1702.535564420662
310,382,002A38.JPG,38,1662.1447766095987
311,479,038A23.JPG,23,1923.584561395965
312,416,003A38.JPG,38,1636.1903052684368
313,560,025A39.JPG,39,1685.4085674022297
314,905,023A18.JPG,18,1979.9648763724613
315,948,052A16.JPG,16,1802.3372604188455
316,172,024A17.JPG,17,1595.254304797563
317,175,003A58.JPG,58,1893.4640437372798
318,453,028A18.JPG,18,1874.7591899334413
319,296,065A12.JPG,12,1923.9740323396868
320,21,005A30.JPG,30,1101.8573807257062
321,818,047A18.JPG,18,1784.0132173817876
322,748,015A15.JPG,15,1918.5144804023432
323,978,004A62.JPG,62,1685.6768289573895
324,532,015A19.JPG,19,1743.7707176783438
325,468,018A28.JPG,28,1510.0680167566534
326,214,034A35.JPG,35,1666.6396800543007
327,260,033A30.JPG,30,1074.2749807644145
328,120,040A21.JPG,21,1431.231386480172
329,276,005A48.JPG,48,1844.1365448944935
330,821,054A18.JPG,18,1932.926756518419
331,417,001A43a.JPG,43,1615.7192570625878
332,304,067A14.JPG,14,1691.9092899888278
333,361,030A16.JPG,16,1637.8063001253454
334,806,051A17.JPG,17,1447.0893929539993
335,384,001A22.JPG,22,1692.9705584084727
336,265,024A25.JPG,25,1655.6462742661322
337,138,007A39.JPG,39,1695.1025772101825
338,345,012A26.JPG,26,1663.7313711082504
339,713,016A17.JPG,17,1897.4223607233284
340,39,047A11.JPG,11,1520.3249215669357
341,258,017A42.JPG,42,1725.5970133352057
342,171,067A21.JPG,21,1751.701530115205
343,426,045A40.JPG,40,1659.2170012487884
344,911,082A27.JPG,27,1867.4258553204556
345,916,003A35.JPG,35,1699.8022027825461
346,699,005A49.JPG,49,1824.582340263069
347,456,012A34.JPG,34,1715.9351142736214
348,849,004A51.JPG,51,1668.2519659296422
349,438,071A22.JPG,22,1737.2878313891476
350,249,051A15.JPG,15,1729.9701053500523
351,70,043A23.JPG,23,1762.0607997146697
352,883,072A34.JPG,34,1944.647604280487
353,631,019A12.JPG,12,1790.9399181870133
354,716,001A16.JPG,16,1166.7268905084723
355,439,046A18.JPG,18,1944.7816982379948
356,229,045A18.JPG,18,1933.480851315777
357,454,060A20.JPG,20,1794.4446021812967
358,494,062A45.JPG,45,1660.6432156825704
359,854,013A25.JPG,25,1611.4804358705633
360,859,035A16.JPG,16,1637.8224336389496
361,133,072A27.JPG,27,1938.7027521175096
362,250,067A39.JPG,39,1829.1185653504815
363,523,048A49.JPG,49,1426.861075166951
364,53,047A12.JPG,12,1752.234255276578
365,596,002A21.JPG,21,1744.1410694861638
366,103,022A23.JPG,23,1863.6481528444663
367,866,044A15.JPG,15,1888.8060486348982
368,639,034A39.JPG,39,1936.0262572101158
369,237,012A14.JPG,14,1742.720688088907
370,498,063A22.JPG,22,1638.3949633876825
371,499,001A43b.JPG,43,1055.04182937036
372,792,007A23.JPG,23,1677.8513292615435
373,128,038A34.JPG,34,1968.4809537829788
374,415,050A14.JPG,14,1943.9667367147376
375,387,021A16.JPG,16,1849.3063785192098
376,817,057A17.JPG,17,1749.7262721389498
377,64,004A21.JPG,21,1899.979092138631
378,642,034A18.JPG,18,1749.628901635692
379,652,030A18.JPG,18,1046.5881881728158
380,446,068A13.JPG,13,1647.0894134875025
381,314,040A14.JPG,14,1970.6485167521507
382,605,038A17.JPG,17,1883.5395661535872
383,651,013A34.JPG,34,1836.9000884753136
384,504,082A16.JPG,16,1474.7265390940497
385,737,068A14.JPG,14,1826.775413134042
386,894,031A16.JPG,16,1968.9648354699184
387,188,024A07.JPG,7,1917.275108160243
388,784,022A14.JPG,14,1805.7688163929768
389,804,034A11.JPG,11,1895.088157064226
390,356,077A09.JPG,9,1842.4061310900345
391,775,075A08.JPG,8,1873.0232932834067
392,99,039A13.JPG,13,1617.9241157699287
393,224,039A17.JPG,17,1957.4926925117493
394,449,075A11.JPG,11,1502.968832164287
395,715,041A09.JPG,9,1890.1520857828345
396,734,032A15.JPG,15,1702.0793859615337
397,352,048A10.JPG,10,1907.791360251144
398,977,047A27.JPG,27,1633.499096061793
399,959,037A19.JPG,19,1672.8797270796508
400,184,035A12.JPG,12,1645.1306043234274
401,162,018A18.JPG,18,1124.7051355652093
402,878,002A18.JPG,18,1766.2271148793714
403,565,029A10.JPG,10,1628.7399458675325
404,235,052A07.JPG,7,1714.0603454656602
405,320,060A17.JPG,17,1902.425444992644
406,908,061A18.JPG,18,1720.6960050528219
407,625,049A17.JPG,17,1721.9863951405232
408,13,009A16b.JPG,16,1722.5279938970093
409,550,077A07.JPG,7,1883.144583293792
410,665,058A13.JPG,13,1675.2097978204815
411,852,059A14.JPG,14,1031.6996104862783
412,739,018A11.JPG,11,1761.2114840407748
413,514,042A10.JPG,10,1628.8376376107362
414,150,054A12.JPG,12,1848.685817629166
415,146,069A10.JPG,10,1956.658062828679
416,822,040A12.JPG,12,1806.9325581456746
417,608,024A05.JPG,5,1835.8145245477804
418,837,076A13.JPG,13,1829.4952455431712
419,422,037A09.JPG,9,1144.1717008259739
420,448,080A06.JPG,6,1977.4585433168554
421,672,041A04.JPG,4,1692.5412062749342
422,601,046A10.JPG,10,1150.46114770007
423,75,070A12.JPG,12,1771.602709748746
424,484,056A04.JPG,4,1868.025319716564
425,628,014A12.JPG,12,1909.7883908167453
426,886,008A06.JPG,6,1855.7136444725588
427,88,066A09.JPG,9,1822.6468642716343
428,255,002A15.JPG,15,1605.5066633232157
429,867,078A09.JPG,9,1581.0109542876428
430,879,054A09.JPG,9,1949.8515286488232
431,240,053A04.JPG,4,1922.6288093662565
432,256,081A06.JPG,6,1875.8852259366847
433,401,014A16.JPG,16,1948.5542233241918
434,434,028A14.JPG,14,1175.0851001732508
435,285,079A04.JPG,4,1766.18837184661
436,850,072A14.JPG,14,1932.8029135996028
437,805,074A12.JPG,12,1927.3063979097233
438,102,013A08.JPG,8,1642.864862166787
439,538,066A10.JPG,10,1820.3480902269177
440,955,029A04.JPG,4,1815.8941934059767
441,704,035A08.JPG,8,1881.9414954942067
442,595,002A16.JPG,16,1724.22336989468
443,350,070A14.JPG,14,1690.581690894608
444,411,081A07.JPG,7,1843.190209944687
445,161,015A10.JPG,10,1707.6692285510792
446,906,076A08.JPG,8,1662.2858609817333
447,828,035A05.JPG,5,1802.7892828352021
448,482,023A05.JPG,5,1641.5175330793218
449,241,060A10.JPG,10,1770.9125345490731
450,985,059A07.JPG,7,1792.6529842513576
451,121,065A10.JPG,10,1895.387313589769
452,610,064A10.JPG,10,1114.9470856171467
453,643,055A05.JPG,5,1713.83726510869
454,25,072A17.JPG,17,1834.2201834046484
455,36,046A14.JPG,14,1815.221069166257
456,462,064A15.JPG,15,1735.638999227491
457,995,053A11.JPG,11,1820.7719529143294
458,717,058A02.JPG,2,1923.8518233095838
459,982,009A09.JPG,9,1709.5802201386696
460,724,065A02b.JPG,2,1630.6915367618844
461,305,028A16.JPG,16,1447.9949928594476
462,756,076A12.JPG,12,1468.900203903313
463,899,002A03.JPG,3,1756.0172937242535
464,192,058A15.JPG,15,1943.9083583594277
465,290,068A03.JPG,3,1663.5557723602158
466,778,070A06.JPG,6,1924.8091774090299
467,645,002A20.JPG,20,1925.8205585420803
468,263,058A05.JPG,5,1702.4645260098189
469,363,073A13.JPG,13,1831.8871468929447
470,341,053A12.JPG,12,1636.869329059975
471,153,074A15.JPG,15,1547.882717390652
472,375,021A05.JPG,5,1681.7024351326058
473,377,068A10b.JPG,10,1568.6033629223052
474,93,052A10.JPG,10,1698.1182671870524
475,264,077A12.JPG,12,1532.8270082321988
476,926,021A06.JPG,6,1152.2595343763826
477,60,026A11.JPG,11,1066.795107238549
478,105,082A03.JPG,3,1973.4113030405324
479,946,008A13.JPG,13,1929.5706707449144
480,218,050A03.JPG,3,1836.094776105887
481,205,070A03.JPG,3,1854.127959840747
482,107,015A07.JPG,7,1739.8384945206528
483,0,011A14.JPG,14,1759.7133202695259
484,30,024A10.JPG,10,1450.4326038531744
485,910,071A10.JPG,10,1769.3524411699418
486,364,065A07b.JPG,7,1663.6890648723129
487,323,080A05.JPG,5,1921.3845558100868
488,116,080A12.JPG,12,1873.7738805467366
489,729,069A11.JPG,11,1655.0055555094673
490,275,079A11.JPG,11,1888.6278550502677
491,368,077A10.JPG,10,1906.372623104216
492,831,053A10.JPG,10,1729.7669353572658
493,907,069A02.JPG,2,1577.7129860036016
494,973,037A02.JPG,2,1739.624936213859
495,763,065A09.JPG,9,1814.896926570683
496,6,025A12.JPG,12,1170.9730289127074
497,213,068A12.JPG,12,1886.6140464299272
498,481,030A05.JPG,5,1726.3969948047597
